QuestionNum,Question,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Answer,Explaination,ImageUrl,QuizCode,QuizTitle,QuizDescription
1,A solutions architect is designing a new service behind Amazon API Gateway. The request patterns for the service will be unpredictable and can change suddenly from 0 requests to over 500 per second. The total size of the data that needs to be persisted in a backend database is currently less than 1 GBwith unpredictable future growth Data can be queried using simple key-value requests.Which combination of AWS services would meet these requirements'? (Select TWO ),AWS Fargate,AWS Lambda,Amazon DynamoDB,Amazon EC2 Auto Scaling,MySQL-compatible Amazon Aurora,B C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
2,"A solutions architect needs to design a managed storage solution for a company's application that includes high-performance machine learning, Thisapplication runs on AWS Fargate and the connected storage needs to have concurrent access to files and deliver high performance.Which storage option should the solutions architect recommend?",Create an Amazon S3 bucket for the application and establish an 1AM role for Fargate to communicate with Amazon S3.,Create an Amazon FSx for Lustre file share and establish an 1AM role that allows Fargate to communicate with FSx for Lustre.,Create an Amazon Elastic File System (Amazon EFS) file share and establish an 1AM role that allows Fargate to communicate with Amazon EFS.,Create an Amazon Elastic Block Store (Amazon EBS) volume for the application and establish an 1AM role that allows Fargate to communicate with,,D,,,,,
3,A company has a multi-tier application that runs six front-end web servers in an Amazon EC2 Auto Scaling group in a single Availability Zone behind anApplication Load Balancer (ALB). A solutions architect needs to modify the infrastructure to be highly available without modifying the application.Which architecture should the solutions architect choose that provides high availability?,Create an Auto Scaling group that uses three instances across each of two Regions,Modify the Auto Scaling group to use three instances across each of two Availability Zones,Create an Auto Scaling template that can be used to quickly create more instances in another Region,Change the ALB in front of the Amazon EC2 instances in a round-robin configuration to balance traffic to the web tier,,B,,,,,
4,"A company runs an internal browser-based application The application runs on Amazon EC2 instances behind an Application Load Balancer. Theinstances run in an Amazon EC2 Auto Scaling group across multiple Availability Zones. The Auto Scaling group scales up to 20 instances during workhours, but scales down to 2 instances overnight Staff are complaining that the application is very slow when the day begins, although it runs well by mid-morning.How should the scaling be changed to address the staff complaints and keep costs to a minimum?",Implement a scheduled action that sets the desired capacity to 20 shortly before the office opens,"Implement a step scaling action triggered at a lower CPU threshold, and decrease the cooldown period",Implement a target tracking action triggered at a lower CPU threshold and decrease the cooldown period,Implement a scheduled action that sets the minimum and maximum capacity to 20 shortly before the office opens,,B,https://docs.aws.amazon.com/autoscaling/ec2/userguide/asg-purchase-options.html,,,,
5,"A solutions architect is designing a solution to access a catalog of images and provide users with the ability to submit requests to customize images.Image customization parameters will be in any request sent to an AWS API Gateway API. The customized image will be generated on demand, andusers will receive a link they can click to view or download their customized image. The solution must be highly available for viewing and customizingimagesWhat is the MOST cost-effective solution to meet these requirements?",Use Amazon EC2 instances to manipulate the original image into the requested customization.Store the original and manipulated images in Amazon S3.Configure an Elastic Load Balancer in front of the EC2 instances.,Use AWS Lambda to manipulate the original image to the requested customization.Store the original and manipulated images in Amazon S3.Configure an Amazon CloudFront distribution with the S3 bucket as the ongin.,Use AWS Lambda to manipulate the original image to the requested customization.Store the original images in Amazon S3 and the manipulated images in Amazon DynamoDB.Configure an Elastic Load Balancer in front of the Amazon EC2 instances.,Use Amazon EC2 instances to manipulate the original image into the requested customization.Store the original images in Amazon S3 and the manipulated images in Amazon DynamoDB.Configure an Amazon CloudFront distribution with the S3 bucket as the origin.,,B,,,,,
6,A bicycle sharing company is developing a multi-tier architecture to track the location of its bicycles during peak operating hours. The company wants touse these data points in its existing analytics platform A solutions architect must determine the most viable multi-tier option to support this architecture.The data points must be accessible from the REST API.Which action meets these requirements for storing and retrieving location data?,Use Amazon Athena with Amazon S3,Use Amazon API Gateway with AWS Lambda,Use Amazon QuickSight with Amazon Redshift,Use Amazon API Gateway with Amazon Kinesis Data Analytics,,D,https://aws.amazon.com/kinesis/data-analytics/,,,,
7,A solutions architect is deploying a distributed database on multiple Amazon EC2 instances. The database stores all data on multiple instances so it canwithstand the loss of an instance. The database requires block storage with latency and throughput to support several million transactions per secondper server.Which storage solution should the solutions architect use?,Amazon EBS,Amazon EC2 instance store,Amazon EFS,Amazon S3,,B,,,,,
8,A solutions architect needs to ensure that API calls to Amazon DynamoDB from Amazon EC2 instances in a VPC do not traverse the internet.What should the solutions architect do to accomplish this? (Select TWO),Create a route table entry for the endpoint,Create a gateway endpoint for DynamoDB,Create a new DynamoDB table that uses the endpoint,Create an ENI for the endpoint in each of the subnets of the VPC,Create a security group entry in the default security group to provide access,A B,,,,,
9,"A solutions architect is designing a web application that will run on Amazon EC2 instances behind an Application Load Balancer (ALB). The companystrictly requires that the application be resilient against malicious internet activity and attacks, and protect against new common vulnerabilities andexposures.What should the solutions architect recommend?",Leverage Amazon CloudFront with the ALB endpoint as the origin,Deploy an appropriate managed rule for AWS WAF and associate it with the ALB,Subscribe to AWS Shield Advanced and ensure common vulnerabilities and exposures are blocked,Configure network ACLs and security groups to allow only ports 80 and 443 to access the EC2 instances,,C,https://d1.awsstatic.com/whitepapers/Security/DDoS_White_Paper.pdf,,,,
10,A company has been storing analytics data in an Amazon RDS instance for the past few years. The company asked a solutions architect to find asolution that allows users to access this data using an API. The expectation is that the application will experience periods of inactivity but could receivebursts of traffic within seconds.Which solution should the solutions architect suggest?,Set up an Amazon API Gateway and use Amazon ECS.,Set up an Amazon API Gateway and use AWS Elastic Beanstalk.,Set up an Amazon API Gateway and use AWS Lambda functions,Set up an Amazon API Gateway and use Amazon EC2 with Auto Scaling,,C,,,,,
